Name,Occurences,AvgLaunchAngle,MaxExitVelo,AvgExitVelo,ExitVeloFBLD,ExitVeloGB,MaxDist,AvgDist,AvgHRdist,HardHit95,HardHitPct,NumBarrels,BarrelPct,Barrels/PA
"Posey, Buster",347,10.3,108.1,89.1,91.9,87,421,165,398,121,34.9,18,5.2,4
,,,,,,,,,,,,,,
"Mahtook, Mikie",160,12.1,109.3,87.6,93.1,84.1,445,162,399,56,35,10,6.3,4
,,,,,,,,,,,,,,
"Seager, Kyle",449,18.4,110.5,89.7,92.6,87.3,424,197,385,178,39.6,25,5.6,4
,,,,,,,,,,,,,,
"Adames, Willy",196,8.6,110.6,86.5,91.9,83,434,154,406,58,29.6,13,6.6,4
,,,,,,,,,,,,,,
"Dietrich, Derek",361,15.7,111,87.4,90.8,86.2,448,170,396,136,37.7,22,6.1,4
,,,,,,,,,,,,,,
"Beckham, Tim",272,9.4,111.2,86.6,92.2,82.6,431,158,405,97,35.7,16,5.9,4
,,,,,,,,,,,,,,
"Guzman, Ronald",267,14.3,111.3,86.6,90.2,84.4,443,178,386,88,33,17,6.4,4
,,,,,,,,,,,,,,
"Travis, Devon",293,7.8,111.5,88.3,92,87,428,147,393,108,36.9,15,5.1,4
,,,,,,,,,,,,,,
"Anderson, Brian",463,8.6,113.3,90.2,93,89.6,434,150,398,196,42.3,27,5.8,4
,,,,,,,,,,,,,,
"Riddle, JT",245,7.3,106.1,87,91.9,84.2,420,151,391,71,29,13,5.3,3.9
,,,,,,,,,,,,,,
"Owings, Chris",208,12.9,107.1,87.4,92.2,83,419,175,404,70,33.7,12,5.8,3.9
,,,,,,,,,,,,,,
"Martinez, Victor",425,14,107.6,87.8,90.8,85.5,416,181,384,129,30.4,20,4.7,3.9
,,,,,,,,,,,,,,
"Moran, Colin",340,10.6,107.8,88,92.4,84.6,416,165,399,120,35.3,18,5.3,3.9
,,,,,,,,,,,,,,
"Jones, Adam",491,13,108.1,88,91.5,86.2,422,174,396,162,33,24,4.9,3.9
,,,,,,,,,,,,,,
"Pina, Manny",249,13.8,109.7,84.7,90.4,80.9,428,169,409,66,26.5,13,5.2,3.9
,,,,,,,,,,,,,,
"Taylor, Michael A.",239,6.2,110.8,86.5,93.1,82,425,153,392,81,33.9,15,6.3,3.9
,,,,,,,,,,,,,,
"Garver, Mitch",232,12.5,111,88.8,93.6,85.8,421,174,408,90,38.8,13,5.6,3.9
,,,,,,,,,,,,,,
"Lamb, Jake",146,4.9,108.4,88.2,91.8,84.9,422,161,388,54,37,9,6.2,3.8
,,,,,,,,,,,,,,
"Delmonico, Nicky",205,14.6,109.3,86.8,90,85.5,410,175,386,70,34.1,12,5.9,3.8
,,,,,,,,,,,,,,
"Kendrick, Howie",124,7.9,109.6,90.2,95.2,86.6,434,161,412,55,44.4,6,4.8,3.8
,,,,,,,,,,,,,,
"Hicks, John",206,13.9,111.2,87.3,92.1,84.5,426,176,397,71,34.5,12,5.8,3.8
,,,,,,,,,,,,,,
"Marte, Ketel",444,5.7,115.1,88.6,92,87.4,465,146,405,162,36.5,22,5,3.8
,,,,,,,,,,,,,,
"Ahmed, Nick",413,11.3,106.2,86.5,91.5,81.8,438,175,393,124,30,21,5.1,3.7
,,,,,,,,,,,,,,
"Mauer, Joe",404,4.5,107.6,90.7,94.9,87.6,427,154,406,174,43.1,20,5,3.7
,,,,,,,,,,,,,,
"Lowrie, Jed",471,17.1,108.1,89,91.9,86.2,412,197,380,177,37.6,25,5.3,3.7
,,,,,,,,,,,,,,
"Granderson, Curtis",239,16.3,108.3,88.3,92.3,82.3,423,202,384,82,34.3,15,6.3,3.7
,,,,,,,,,,,,,,
"Martin, Russell",207,10.1,108.7,90.6,95.4,90.1,424,147,389,89,43,13,6.3,3.7
,,,,,,,,,,,,,,
"Kratz, Erik",166,12.7,109.1,89.5,92.1,88.3,433,168,404,65,39.2,8,4.8,3.7
,,,,,,,,,,,,,,
"Smith, Kevan",154,0.3,109.3,87.9,93,85.6,438,126,412,54,35.1,7,4.5,3.7
,,,,,,,,,,,,,,
"Gregorius, Didi",445,15.6,109.4,86.5,90.8,84.5,430,180,379,136,30.6,21,4.7,3.7
,,,,,,,,,,,,,,
"Albies, Ozzie",527,15.5,109.9,86.3,91.7,81.6,427,176,389,155,29.4,25,4.7,3.7
,,,,,,,,,,,,,,
"Profar, Jurickson",440,12.3,112.2,87.3,91.7,84.5,436,168,403,140,31.8,22,5,3.7
,,,,,,,,,,,,,,
"Candelario, Jeimer",384,15.3,112.7,87.1,91.8,85.2,440,174,398,128,33.3,23,6,3.7
,,,,,,,,,,,,,,
"Adrianza, Ehire",259,14.3,107.1,84.8,90.3,79.1,405,182,387,79,30.5,13,5,3.6
,,,,,,,,,,,,,,
"Perez, Hernan",246,10.9,109.6,87.3,91.2,85.5,441,170,409,79,32.1,12,4.9,3.6
,,,,,,,,,,,,,,
"Nimmo, Brandon",293,10.5,110.9,89.5,94.1,87.5,449,159,397,123,42,19,6.5,3.6
,,,,,,,,,,,,,,
"Schoop, Jonathan",363,11.1,111.2,86.2,90,84.8,446,156,393,111,30.6,18,5,3.6
,,,,,,,,,,,,,,
"Jones, JaCoby",289,12,112.3,88,92.6,85.1,422,175,385,103,35.6,17,5.9,3.6
,,,,,,,,,,,,,,
"Solarte, Yangervis",400,13.9,113.2,87,90.7,85.6,459,161,403,128,32,18,4.5,3.6
,,,,,,,,,,,,,,
"Pence, Hunter",178,5.8,113.6,87.9,91.5,86.7,445,141,417,59,33.1,9,5.1,3.6
,,,,,,,,,,,,,,
"Sandoval, Pablo",179,9.3,113.9,89.6,94.3,87.6,447,159,392,66,36.9,9,5,3.6
,,,,,,,,,,,,,,
"Maldonado, Martin",279,14.1,108.9,84.7,89.6,81.4,425,167,397,74,26.5,14,5,3.5
,,,,,,,,,,,,,,
"Kingery, Scott",331,16.8,109.1,85.5,90.3,79.3,405,187,378,103,31.1,17,5.1,3.5
,,,,,,,,,,,,,,
"Simmons, Andrelton",516,7.7,109.7,87.8,92,86.6,402,149,382,187,36.2,21,4.1,3.5
,,,,,,,,,,,,,,
"McCann, James",313,16,111.4,87.5,91.5,86.3,437,177,394,116,37.1,16,5.1,3.5
,,,,,,,,,,,,,,
"Herrera, Odubel",430,12.2,114.7,86.3,89.8,85.4,453,163,394,136,31.6,21,4.9,3.5
,,,,,,,,,,,,,,
"Field, Johnny",151,12.7,105.3,85.6,91.2,81.1,425,181,391,46,30.5,8,5.3,3.4
,,,,,,,,,,,,,,
"Merrifield, Whit",526,16.6,106.4,86.5,91.1,82,430,183,400,163,31,24,4.6,3.4
,,,,,,,,,,,,,,
"Swihart, Blake",135,13.9,108.1,86,88.7,85.2,403,164,373,36,26.7,7,5.2,3.4
,,,,,,,,,,,,,,
"Culberson, Charlie",212,7.3,108.2,84.1,90.5,80.8,413,149,396,65,30.7,11,5.2,3.4
,,,,,,,,,,,,,,
"Camargo, Johan",359,12.5,109.7,88,91,86.8,431,165,389,121,33.7,18,5,3.4
,,,,,,,,,,,,,,
"Mercer, Jordy",311,13,110.1,87.4,90.6,85.1,443,174,401,97,31.2,15,4.8,3.4
,,,,,,,,,,,,,,
"Romine, Austin",179,9.4,111.4,88,91.9,86.4,440,154,389,68,38,9,5,3.4
,,,,,,,,,,,,,,
"Semien, Marcus",510,15.3,107.1,86.7,91.3,82.9,428,177,393,163,32,23,4.5,3.3
,,,,,,,,,,,,,,
"Spangenberg, Cory",193,6.1,107.6,86.4,93.1,81.2,413,158,386,74,38.3,11,5.7,3.3
,,,,,,,,,,,,,,
"Andrus, Elvis",331,8.8,109.7,87.2,90,86.3,428,152,404,101,30.5,14,4.2,3.3
,,,,,,,,,,,,,,
"Naquin, Tyler",133,5.6,110.5,89,91.4,87.4,418,155,410,51,38.3,6,4.5,3.3
,,,,,,,,,,,,,,
"Villar, Jonathan",331,2.7,110.9,87.2,91.9,84.9,430,133,399,119,36,17,5.1,3.3
,,,,,,,,,,,,,,
"Wieters, Matt",193,18.3,111.8,86.9,92.2,82.8,405,188,389,65,33.7,9,4.7,3.3
,,,,,,,,,,,,,,
"Anderson, Tim",423,10.5,112.5,85.6,90.7,81.7,414,162,384,119,28.1,20,4.7,3.3
,,,,,,,,,,,,,,
"Marte, Jefry",153,6,114.2,88.2,91,88.5,446,134,404,56,36.6,7,4.6,3.3
,,,,,,,,,,,,,,
"Guyer, Brandon",147,14.1,105.4,84.2,88.3,81,401,182,378,45,30.6,7,4.8,3.2
,,,,,,,,,,,,,,
"Robertson, Daniel",207,7.7,107,86.6,90.4,84.8,431,145,397,72,34.8,11,5.3,3.2
,,,,,,,,,,,,,,
"Gomez, Carlos",259,18.2,113.2,85,89.8,82.1,424,178,399,77,29.7,13,5,3.2
,,,,,,,,,,,,,,
"Frazier, Adam",267,10,105.5,87.6,90.3,86.1,413,163,383,82,30.7,11,4.1,3.1
,,,,,,,,,,,,,,
"Suzuki, Kurt",310,18.2,106,87.2,91.2,84,415,182,382,107,34.5,12,3.9,3.1
,,,,,,,,,,,,,,
"Leon, Sandy",194,15.5,106.7,83.6,88.3,79.6,401,176,393,50,25.8,9,4.6,3.1
,,,,,,,,,,,,,,
"Fowler, Dustin",147,15,108.6,88.3,88.8,90,437,172,404,59,40.1,6,4.1,3
,,,,,,,,,,,,,,
"Brantley, Michael",517,9.5,108.6,89.9,91.9,89,424,169,392,194,37.5,19,3.7,3
,,,,,,,,,,,,,,
"Maile, Luke",137,11.1,109.9,89.3,93.2,87.2,418,158,381,59,43.1,7,5.1,3
,,,,,,,,,,,,,,
"Kiermaier, Kevin",245,6.2,110.2,84.5,90.7,81.4,416,143,394,71,29,11,4.5,3
,,,,,,,,,,,,,,
"Segura, Jean",526,7.4,111.7,87.1,90.3,85.7,420,145,398,169,32.1,19,3.6,3
,,,,,,,,,,,,,,
"Harrison, Josh",283,14.9,105.1,84.6,90.2,78.8,421,180,386,73,25.8,11,3.9,2.9
,,,,,,,,,,,,,,
"Reddick, Josh",359,18.1,105.9,85.2,89.9,82,434,179,378,95,26.5,14,3.9,2.9
,,,,,,,,,,,,,,
"Hanson, Alen",229,12.8,107.7,82.8,86.9,79.8,413,156,384,49,21.4,9,3.9,2.9
,,,,,,,,,,,,,,
"Rosario, Amed",441,7.2,109.5,87.3,90.4,85.9,437,151,405,141,32,17,3.9,2.9
,,,,,,,,,,,,,,
"Plawecki, Kevin",175,10.8,111.6,86.7,91.1,84.8,410,162,390,62,35.4,8,4.6,2.9
,,,,,,,,,,,,,,
"Asuaje, Carlos",147,14.2,104,86.4,90.5,82.5,401,177,393,36,24.5,6,4.1,2.8
,,,,,,,,,,,,,,
"Ervin, Phillip",162,16.2,107,85.4,90.8,80.6,429,179,394,56,34.6,7,4.3,2.8
,,,,,,,,,,,,,,
"Swanson, Dansby",365,12.9,108.5,86.8,91.9,83.2,438,168,399,124,34,15,4.1,2.8
,,,,,,,,,,,,,,
"Nunez, Eduardo",415,9.2,110.2,88.2,90.4,89.4,411,147,383,148,35.7,14,3.4,2.8
,,,,,,,,,,,,,,
"Galvis, Freddy",462,13.2,105.8,87.5,91.8,83.7,419,176,382,131,28.4,18,3.9,2.7
,,,,,,,,,,,,,,
"Crawford, Brandon",414,11,108.8,87.3,90.6,85.6,436,167,388,137,33.1,16,3.9,2.7
,,,,,,,,,,,,,,
"Polanco, Jorge",244,15.5,109,83.9,88.7,79.8,411,180,379,68,27.9,9,3.7,2.7
,,,,,,,,,,,,,,
"Hernandez, Cesar",454,9.4,109.4,84.2,88.9,81.3,441,159,393,126,27.8,19,4.2,2.7
,,,,,,,,,,,,,,
"Munoz, Yairo",224,4.4,111.2,87.2,93.4,82.6,411,147,390,66,29.5,9,4,2.7
,,,,,,,,,,,,,,
"Tucker, Preston",124,11.5,111.2,90.4,91.8,90.7,442,162,398,49,39.5,5,4,2.7
,,,,,,,,,,,,,,
"Adduci, Jim",134,10.6,111.8,85.3,90,83.4,424,156,384,35,26.1,5,3.7,2.7
,,,,,,,,,,,,,,
"Rickard, Joey",158,17.6,104.1,84.5,90.1,79.2,410,183,389,31,19.6,6,3.8,2.6
,,,,,,,,,,,,,,
"Machado, Dixon",175,10.8,106.6,85,89.8,82.1,387,158,377,45,25.7,6,3.4,2.6
,,,,,,,,,,,,,,
"Maybin, Cameron",269,7.5,111,86.4,90.8,83.5,429,151,415,89,33.1,10,3.7,2.6
,,,,,,,,,,,,,,
"Holt, Brock",250,6.3,105.9,87.5,90.9,85.6,426,152,402,77,30.8,9,3.6,2.5
,,,,,,,,,,,,,,
"Barnhart, Tucker",370,11.7,106.6,85.9,90.9,82.5,421,162,382,112,30.3,13,3.5,2.5
,,,,,,,,,,,,,,
"Blanco, Gregor",133,14.4,106.7,83.5,88.9,79.3,399,162,389,31,23.3,5,3.8,2.5
,,,,,,,,,,,,,,
"Wong, Kolten",302,6.8,107.1,84.4,91.1,80.1,409,149,386,93,30.8,10,3.3,2.5
,,,,,,,,,,,,,,
"Pirela, Jose",351,4.7,112.1,89,91.3,89.3,424,132,408,129,36.8,12,3.4,2.5
,,,,,,,,,,,,,,
"Margot, Manuel",397,11.4,112.9,88.7,92.8,87.3,424,168,396,145,36.5,13,3.3,2.5
,,,,,,,,,,,,,,
"Caratini, Victor",142,5.9,112.9,87.8,94.2,84.7,419,143,407,53,37.3,5,3.5,2.5
,,,,,,,,,,,,,,
"Kinsler, Ian",426,17.8,106.1,85.3,89,83.4,412,177,389,110,25.8,13,3.1,2.4
,,,,,,,,,,,,,,
"Rodriguez, Ronny",154,11.3,106.5,83.9,90.3,79.8,402,160,380,46,29.9,5,3.2,2.4
,,,,,,,,,,,,,,
"Markakis, Nick",552,10.1,109.3,90.6,92.2,90.2,429,170,398,229,41.5,17,3.1,2.4
,,,,,,,,,,,,,,
"Cain, Lorenzo",447,4.9,112.4,89.1,91,88.6,431,139,402,181,40.5,15,3.4,2.4
,,,,,,,,,,,,,,
"Wolters, Tony",151,5,103.4,84.3,88.4,83.3,418,132,396,32,21.2,5,3.3,2.3
,,,,,,,,,,,,,,
"McCann, Brian",151,23.1,104.5,86,89.3,84,410,192,389,39,25.8,5,3.3,2.3
,,,,,,,,,,,,,,
"Zobrist, Ben",403,8.6,107.5,89.4,91.7,87.9,423,163,386,154,38.2,12,3,2.3
,,,,,,,,,,,,,,
"Panik, Joe",333,9.8,108.1,86.5,88.4,86.4,400,154,374,98,29.4,9,2.7,2.3
,,,,,,,,,,,,,,
"Flores, Wilmer",353,17,108.5,86.5,89.8,85.8,422,180,384,94,26.6,10,2.8,2.3
,,,,,,,,,,,,,,
"Reyes, Victor",168,6,108.5,84,88.4,81.6,399,138,390,44,26.2,5,3,2.3
,,,,,,,,,,,,,,
"Eaton, Adam",257,7.2,109.4,85.8,90.3,82.9,408,152,396,78,30.4,8,3.1,2.2
,,,,,,,,,,,,,,
"Heyward, Jason",384,9.4,110.8,88.1,91.2,88.3,423,162,393,148,38.5,11,2.9,2.2
,,,,,,,,,,,,,,
"Heredia, Guillermo",249,9.2,105.7,83.9,89.4,80,404,161,367,68,27.3,7,2.8,2.1
,,,,,,,,,,,,,,
"Fowler, Dexter",218,12.6,107.5,85.3,89.1,82.6,404,171,377,61,28,7,3.2,2.1
,,,,,,,,,,,,,,
"Mullins, Cedric",134,7.7,108,85,91.9,82.1,412,147,400,38,28.4,4,3,2.1
,,,,,,,,,,,,,,
"Barnes, Austin",134,4.4,108.1,86.3,88.8,85.8,419,126,403,41,30.6,5,3.7,2.1
,,,,,,,,,,,,,,
"Sanchez, Yolmer",467,8.5,110.3,85.6,91.2,82.1,449,157,405,130,27.8,14,3,2.1
,,,,,,,,,,,,,,
"Parra, Gerardo",331,8,105.5,85.3,90.2,81.9,433,157,402,87,26.3,9,2.7,2
,,,,,,,,,,,,,,
"McNeil, Jeff",205,14,105.6,85.2,90.1,82.6,399,168,391,59,28.8,5,2.4,2
,,,,,,,,,,,,,,
"Reyes, Jose",190,12.4,107.3,84.5,89,82.4,413,150,381,45,23.7,5,2.6,2
,,,,,,,,,,,,,,
"Peterson, Jace",154,10.2,107.7,86.7,91.5,82.6,415,156,400,50,32.5,5,3.2,2
,,,,,,,,,,,,,,
"Span, Denard",365,12.7,108.1,86.5,89.3,85.2,415,169,391,108,29.6,10,2.7,2
,,,,,,,,,,,,,,
"Peraza, Jose",570,13.3,108.7,83.9,87.1,81.3,426,177,391,134,23.5,14,2.5,2
,,,,,,,,,,,,,,
"Gamel, Ben",197,7.2,109.1,88.7,90.6,87,402,155,369,66,33.5,6,3,2
,,,,,,,,,,,,,,
"Wendle, Joey",403,10.3,110.1,88.4,91.7,86.7,420,165,400,142,35.2,11,2.7,2
,,,,,,,,,,,,,,
"Gardner, Brett",432,8.4,110.1,87.3,91.7,85,426,156,385,142,32.9,12,2.8,2
,,,,,,,,,,,,,,
"Narvaez, Omar",217,13,102.5,85.1,89.4,81.4,407,173,380,53,24.4,6,2.8,1.9
,,,,,,,,,,,,,,
"Garcia, Greg",147,9.9,105.8,81.9,88,78,391,154,370,37,25.2,4,2.7,1.9
,,,,,,,,,,,,,,
"Hechavarria, Adeiny",247,13.4,105.9,86.6,89.6,84.5,403,176,380,82,33.2,6,2.4,1.9
,,,,,,,,,,,,,,
"Prado, Martin",162,9.1,106.2,87.5,87.7,88.2,400,155,374,42,25.9,4,2.5,1.9
,,,,,,,,,,,,,,
"Difo, Wilmer",333,11.8,104.3,82.1,87,78.2,403,156,380,63,18.9,8,2.4,1.8
,,,,,,,,,,,,,,
"Lucroy, Jonathan",357,13.4,106.6,86.7,90.1,85.3,408,169,386,98,27.5,8,2.2,1.8
,,,,,,,,,,,,,,
"Mathis, Jeff",132,14.2,108.2,86.6,92.2,80.8,414,183,386,44,33.3,4,3,1.8
,,,,,,,,,,,,,,
"Cabrera, Melky",217,9.4,108.6,90.4,90.5,92.4,407,155,386,89,41,5,2.3,1.8
,,,,,,,,,,,,,,
"Garcia, Leury",194,5.3,108.8,85.7,90.9,82,421,142,399,61,31.4,5,2.6,1.8
,,,,,,,,,,,,,,
"Escobar, Alcides",423,9.4,105.5,83.1,88.2,79.3,398,155,386,91,21.5,9,2.1,1.7
,,,,,,,,,,,,,,
"Herrera, Rosell",224,2.2,112,87.1,91,84.7,414,136,342,73,32.6,5,2.2,1.7
,,,,,,,,,,,,,,
"Engel, Adam",308,12.5,113.4,84.8,91.7,80.2,423,169,399,99,32.1,8,2.6,1.7
,,,,,,,,,,,,,,
"Utley, Chase",131,15.7,106.4,87.3,90.5,84.2,394,178,358,42,32.1,3,2.3,1.6
,,,,,,,,,,,,,,
"Flaherty, Ryan",122,-0.2,106.7,86.4,91.9,83.5,428,113,428,33,27,3,2.5,1.6
,,,,,,,,,,,,,,
"Cozart, Zack",185,17.1,107,85.4,88.4,84.6,397,179,384,51,27.6,4,2.2,1.6
,,,,,,,,,,,,,,
"Arcia, Orlando",263,3.3,107.4,85.6,90.6,83.7,403,121,384,76,28.9,6,2.3,1.6
,,,,,,,,,,,,,,
"Gurriel, Yuli",481,11.5,107.9,89.3,89.7,91,427,165,378,174,36.2,9,1.9,1.6
,,,,,,,,,,,,,,
"Jackson, Austin",215,10.6,108.6,86.8,90.4,84.4,419,158,404,70,32.6,6,2.8,1.6
,,,,,,,,,,,,,,
"Vazquez, Christian",211,12.6,105.2,87.2,87.9,89,392,164,382,60,28.4,4,1.9,1.5
,,,,,,,,,,,,,,
"Russell, Addison",324,12,108.2,86.3,90,83.8,409,174,379,86,26.5,7,2.2,1.5
,,,,,,,,,,,,,,
"Grossman, Robbie",320,14.5,108.6,86.8,89.7,85.5,422,173,394,89,27.8,7,2.2,1.5
,,,,,,,,,,,,,,
"Jay, Jon",440,3.2,105,84.1,89,81.1,413,131,387,95,21.6,8,1.8,1.4
,,,,,,,,,,,,,,
"Severino, Pedro",144,14.1,108.3,83.2,89.8,79,428,150,427,28,19.4,3,2.1,1.4
,,,,,,,,,,,,,,
"Dyson, Jarrod",176,7.3,107,81.1,88.2,76.1,408,141,385,34,19.3,3,1.7,1.3
,,,,,,,,,,,,,,
"Slater, Austin",131,2.3,108.2,86.9,88.6,87.4,425,117,425,45,34.4,3,2.3,1.3
,,,,,,,,,,,,,,
"Cuevas, Noel",122,10.4,109.3,85.2,90.4,83.5,403,154,383,33,27,2,1.6,1.3
,,,,,,,,,,,,,,
"Gentry, Craig",126,8,101.4,82.3,88.4,78,420,148,420,26,20.6,2,1.6,1.2
,,,,,,,,,,,,,,
"Inciarte, Ender",519,10,105,83.7,88,80.6,433,156,380,98,18.9,8,1.5,1.2
,,,,,,,,,,,,,,
"Butera, Drew",126,18.6,103.7,86.1,91,83.5,395,185,368,33,26.2,2,1.6,1.1
,,,,,,,,,,,,,,
"Smith, Mallex",391,2.6,104.7,84.1,89.1,80.4,412,144,393,90,23,6,1.5,1.1
,,,,,,,,,,,,,,
"Joseph, Caleb",199,12.6,105,84.6,89.3,80.5,399,174,382,58,29.1,3,1.5,1.1
,,,,,,,,,,,,,,
"Iglesias, Jose",390,11.9,106.5,84.3,88.2,83.2,402,153,386,87,22.3,5,1.3,1.1
,,,,,,,,,,,,,,
"La Stella, Tommy",142,8.1,103.9,86,89.6,85.3,391,151,378,35,24.6,2,1.4,1
,,,,,,,,,,,,,,
"Allen, Greg",212,6.5,105.7,84.7,88,82,389,155,388,64,30.2,3,1.4,1
,,,,,,,,,,,,,,
"Almora Jr., Albert",369,7.7,110,85.6,89,84.8,435,147,385,101,27.4,5,1.4,1
,,,,,,,,,,,,,,
"Davis, Rajai",153,9.1,104.4,82.6,87.4,79.6,397,148,352,41,26.8,2,1.3,0.9
,,,,,,,,,,,,,,
"Duffy, Matt",413,4.6,104.9,86.6,90,84.8,410,134,402,115,27.8,5,1.2,0.9
,,,,,,,,,,,,,,
"DeShields, Delino",262,3.7,106.3,79.6,86.9,75.1,386,143,374,38,14.5,3,1.1,0.8
,,,,,,,,,,,,,,
"Rojas, Miguel",426,8.9,106.6,84.1,87.2,83.2,431,145,390,101,23.7,4,0.9,0.8
,,,,,,,,,,,,,,
"Forsythe, Logan",289,10.4,106.1,87.3,89.6,86.4,423,151,393,86,29.8,3,1,0.7
,,,,,,,,,,,,,,
"Holaday, Bryan",125,14.5,103.1,83.3,87.5,79.7,394,166,394,20,16,1,0.8,0.6
,,,,,,,,,,,,,,
"Jankowski, Travis",276,1.9,104.3,83.6,85.9,82.8,415,119,385,54,19.6,2,0.7,0.5
,,,,,,,,,,,,,,
"Sucre, Jesus",159,9.7,106.1,84.7,85.9,85.5,383,154,383,39,24.5,1,0.6,0.5
,,,,,,,,,,,,,,
"Kiner-Falefa, Isiah",300,6.1,107.9,83.8,86.2,83.2,393,132,373,71,23.7,2,0.7,0.5
,,,,,,,,,,,,,,
"Hamilton, Billy",376,14.3,101.9,79.4,83.1,76.2,392,159,375,32,8.5,2,0.5,0.4
,,,,,,,,,,,,,,
"Kemp, Tony",215,10.8,100.2,82.6,88.7,77.2,396,160,361,38,17.7,1,0.5,0.3
,,,,,,,,,,,,,,
"Fletcher, David",255,12.8,103.7,83.4,85.5,83.7,428,165,393,52,20.4,1,0.4,0.3
,,,,,,,,,,,,,,
"Gordon, Dee",490,3.6,104.7,80.6,85.2,78.2,388,130,365,62,12.7,1,0.2,0.2
