Name,Occurences,AvgLaunchAngle,MaxExitVelo,AvgExitVelo,ExitVeloFBLD,ExitVeloGB,MaxDist,AvgDist,AvgHRdist,HardHit95,HardHitPct,NumBarrels,BarrelPct,Barrels/PA
"Grandal, Yasmani",319,14,111,88.9,94.5,84.5,429,188,404,128,40.1,38,11.9,7.3
,,,,,,,,,,,,,,
"Schwarber, Kyle",291,11.5,117.1,90,95.6,85.9,444,177,404,131,45,37,12.7,7.3
,,,,,,,,,,,,,,
"Ozuna, Marcell",476,10.8,117.2,91.5,94.9,90.1,479,165,415,213,44.7,46,9.7,7.3
,,,,,,,,,,,,,,
"Mondesi, Adalberto",202,11.8,108.4,87.4,94.6,81.1,437,178,411,74,36.6,21,10.4,7.2
,,,,,,,,,,,,,,
"Choi, Ji-Man",137,13.6,109.4,90,94.9,87,460,173,409,58,42.3,16,11.7,7.2
,,,,,,,,,,,,,,
"Aguilar, Jesus",359,16.1,110,89.7,93.8,85.1,433,197,396,152,42.3,41,11.4,7.2
,,,,,,,,,,,,,,
"Morrison, Logan",239,19.6,112.6,88.1,94.5,82.5,442,200,406,89,37.2,26,10.9,7.2
,,,,,,,,,,,,,,
"Adams, Matt",233,19.1,109.3,88.7,94.6,83.5,460,193,396,92,39.5,24,10.3,7.1
,,,,,,,,,,,,,,
"Bogaerts, Xander",417,12.7,111.9,90.5,95.1,87.8,436,169,407,173,41.5,41,9.8,7.1
,,,,,,,,,,,,,,
"Hoskins, Rhys",413,22.4,112,88.9,94.3,82.7,444,213,393,161,39,47,11.4,7.1
,,,,,,,,,,,,,,
"Lindor, Francisco",560,14.5,114.5,90.2,94.3,87.4,445,189,400,228,40.7,53,9.5,7.1
,,,,,,,,,,,,,,
"Pollock, A.J.",321,13.2,108.6,89,93.7,84.5,455,183,405,130,40.5,32,10,7
,,,,,,,,,,,,,,
"Schebler, Scott",283,8.6,111.1,90.2,94.1,88,449,161,406,120,42.4,30,10.6,7
,,,,,,,,,,,,,,
"Alonso, Yonder",398,15.6,112.3,87.7,92.6,85.2,431,181,399,147,36.9,40,10.1,7
,,,,,,,,,,,,,,
"Dozier, Hunter",254,13.1,112.9,89.5,93.7,86,439,182,401,102,40.2,27,10.6,7
,,,,,,,,,,,,,,
"Trumbo, Mark",245,10.3,113.4,92.8,95.9,92.5,444,171,400,118,48.2,25,10.2,7
,,,,,,,,,,,,,,
"Shaw, Travis",397,16.6,114.6,88.4,93.1,85.4,452,191,402,150,37.8,41,10.3,7
,,,,,,,,,,,,,,
"Piscotty, Stephen",437,13.1,111.6,88.6,93.4,84.4,443,174,394,169,38.7,42,9.6,6.9
,,,,,,,,,,,,,,
"Haniger, Mitch",455,12.7,112.8,90.2,94.2,87.4,443,174,400,195,42.9,47,10.3,6.9
,,,,,,,,,,,,,,
"Martinez, Jose",435,8,113.8,90.7,94.1,87.9,436,170,404,192,44.1,41,9.4,6.9
,,,,,,,,,,,,,,
"Belt, Brandon",294,22.5,107.6,86.2,90.5,79.6,429,217,389,93,31.6,31,10.5,6.8
,,,,,,,,,,,,,,
"Bird, Greg",198,18.7,107.9,86.9,93.6,79.3,407,198,381,66,33.3,21,10.6,6.8
,,,,,,,,,,,,,,
"Choo, Shin-Soo",407,6.1,109.5,89,95.2,83.7,447,164,404,163,40,45,11.1,6.8
,,,,,,,,,,,,,,
"Bote, David",127,3.5,114,93.5,96.6,91.9,442,155,421,67,52.8,14,11,6.7
,,,,,,,,,,,,,,
"Davidson, Matt",272,13.8,115.1,90,95.8,86.6,450,187,400,115,42.3,33,12.1,6.7
,,,,,,,,,,,,,,
"Castillo, Welington",124,15.5,108.5,90.4,93.2,88.7,430,185,392,57,46,12,9.7,6.6
,,,,,,,,,,,,,,
"Duvall, Adam",268,22.5,109.6,89,93.4,85.6,441,202,392,110,41,28,10.4,6.6
,,,,,,,,,,,,,,
"Moustakas, Mike",476,19.6,112.2,89.3,93,88.6,438,187,398,186,39.1,42,8.8,6.6
,,,,,,,,,,,,,,
"Cano, Robinson",265,8.3,113.4,93.1,95,92.5,419,163,399,137,51.7,23,8.7,6.6
,,,,,,,,,,,,,,
"Freeman, Freddie",492,14.5,109.6,89.1,93.7,83,441,190,402,196,39.8,46,9.3,6.5
,,,,,,,,,,,,,,
"Bradley Jr., Jackie",341,12,112.4,91.9,96.4,88.1,438,178,401,171,50.1,35,10.3,6.5
,,,,,,,,,,,,,,
"Harper, Bryce",390,13.9,115.1,90.6,96.3,84.8,473,187,409,176,45.1,45,11.5,6.5
,,,,,,,,,,,,,,
"Abreu, Jose",396,12.2,115.5,91.3,95.1,89.1,451,178,407,179,45.2,36,9.1,6.5
,,,,,,,,,,,,,,
"Rosario, Eddie",458,17.4,108.1,87.3,92.5,82,418,187,378,152,33.2,38,8.3,6.4
,,,,,,,,,,,,,,
"Realmuto, J.T.",377,14.4,109.8,88.9,92.4,86,434,177,406,154,40.8,34,9,6.4
,,,,,,,,,,,,,,
